"Phase [deg]","Freq [GHz]","surface_int_B []"
0,4.0204,9.58318940192975E-08
0,4.0402,9.26379661395226E-08
0,4.06,8.97073502767118E-08
0,4.0798,8.70210446669052E-08
0,4.0996,8.45617126016275E-08
0,4.1194,8.23140105202926E-08
0,4.1392,8.02644213588535E-08
0,4.159,7.84007175755121E-08
0,4.1788,7.67122337692997E-08
0,4.1986,7.51894504185712E-08
0,4.2184,7.3824065288861E-08
0,4.2382,7.26087969345061E-08
0,4.258,7.15375097465597E-08
0,4.2778,7.06049303650747E-08
0,4.2976,6.98066277248258E-08
0,4.3174,6.91393688859075E-08
0,4.3372,6.86005475465422E-08
0,4.357,6.81882523044388E-08
0,4.3768,6.79018469748882E-08
0,4.3966,6.77410812117991E-08
0,4.4164,6.77072275011251E-08
0,4.4362,6.78017435742413E-08
0,4.456,6.80276305619094E-08
0,4.4758,6.83888076832367E-08
0,4.4956,6.88904246882448E-08
0,4.5154,6.95385838158626E-08
0,4.5352,7.03411054751316E-08
0,4.555,7.13076339399052E-08
0,4.5748,7.24489595880206E-08
0,4.5946,7.37789806339371E-08
0,4.6144,7.53133529806425E-08
0,4.6342,7.70707114939666E-08
0,4.654,7.90735422633695E-08
0,4.6738,8.13481775306605E-08
0,4.6936,8.39258289757936E-08
0,4.7134,8.68440562110051E-08
0,4.7332,9.01477132937408E-08
0,4.753,9.3891340925424E-08
0,4.7728,9.81404761221836E-08
0,4.7926,1.02975451679993E-07
0,4.8124,1.08496153171982E-07
0,4.8322,1.14826423074991E-07
0,4.852,1.22122950449908E-07
0,4.8718,1.30585529915066E-07
0,4.8916,1.40473598706334E-07
0,4.9114,1.52129041965752E-07
0,4.9312,1.66011242366945E-07
0,4.951,1.8275123325622E-07
0,4.9708,2.03237691782549E-07
0,4.9906,2.28760515279075E-07
0,5.0104,2.6125630135911E-07
0,5.0302,3.03755138228162E-07
0,5.05,3.61224488728681E-07
0,5.0698,4.42219643257162E-07
0,5.0896,5.6202052238615E-07
0,5.1094,7.45634621568063E-07
0,5.1292,9.84455442967102E-07
0,5.149,5.98803683740437E-07
0,5.1688,9.71027234121521E-07
0,5.1886,9.98557512902709E-07
0,5.2084,7.76230822223313E-07
0,5.2282,6.21192356643314E-07
0,5.248,5.19720922310879E-07
0,5.2678,4.51021670285097E-07
0,5.2876,4.02915595570138E-07
0,5.3074,3.68546426204502E-07
0,5.3272,3.4395185096824E-07
0,5.347,3.26812347850916E-07
0,5.3668,3.15821865008021E-07
0,5.3866,3.10402562543768E-07
0,5.4064,3.10628401878713E-07
0,5.4262,3.17362029398732E-07
0,5.446,3.32731361562296E-07
0,5.4658,3.6144236874121E-07
0,5.4856,4.14735896604589E-07
0,5.5054,5.25706678770796E-07
0,5.5252,8.47979333125309E-07
0,5.545,7.321682197214E-06
0,5.5648,6.92282816765549E-07
0,5.5846,2.47606865729029E-07
0,5.6044,1.10738227364831E-07
0,5.6242,4.42009740085618E-08
0,5.644,4.5357993585081E-09
0,5.6638,2.22338290724653E-08
0,5.6836,4.19858078252672E-08
0,5.7034,5.76349793476777E-08
0,5.7232,7.08050861729519E-08
0,5.743,8.24882010622933E-08
0,5.7628,9.33421796931592E-08
0,5.7826,1.03839170813647E-07
0,5.8024,1.14347683462337E-07
0,5.8222,1.2518135285533E-07
0,5.842,1.366318975125E-07
0,5.8618,1.4899303316001E-07
0,5.8816,1.62583038325832E-07
0,5.9014,1.77766920064222E-07
0,5.9212,1.94981910461365E-07
0,5.941,2.14734882690118E-07
0,5.9608,2.38000855206355E-07
0,5.9806,2.65333062814768E-07
0,6.0004,2.98253668338191E-07
0,6.0202,3.3858733763343E-07
0,6.04,3.8904780644204E-07
0,6.0598,4.53802868018889E-07
0,6.0796,5.39582464965732E-07
0,6.0994,6.58004186086426E-07
0,6.1192,8.3094977241985E-07
0,6.139,1.10492752465996E-06
0,6.1588,1.5981202378739E-06
0,6.1786,2.70790285959324E-06
0,6.1984,5.3854247605671E-06
0,6.2182,6.39923621468225E-06
0,6.238,2.89650249236282E-06
0,6.2578,1.88764718510936E-06
0,6.2776,1.43275765325113E-06
0,6.2974,1.17917864591839E-06
0,6.3172,1.0208418780002E-06
0,6.337,9.1533119806794E-07
0,6.3568,8.42504964727977E-07
0,6.3766,7.91664624989675E-07
0,6.3964,7.56685315653317E-07
0,6.4162,7.33899400261999E-07
0,6.436,7.2107770316578E-07
0,6.4558,7.16905186379013E-07
0,6.4756,7.20712498929173E-07
0,6.4954,7.32332676319831E-07
0,6.5152,7.52054387158632E-07
0,6.535,7.80630471143855E-07
0,6.5548,8.1937477318453E-07
0,6.5746,8.70312098094764E-07
0,6.5944,9.36499907412329E-07
0,6.6142,1.02253672656481E-06
0,6.634,1.13549248559726E-06
0,6.6538,1.28661527386322E-06
0,6.6736,1.49462653759779E-06
0,6.6934,1.79244799868848E-06
0,6.7132,2.2407114970731E-06
0,6.733,2.94330971447889E-06
0,6.7528,3.80015561456844E-06
0,6.7726,1.24189012553352E-06
0,6.7924,7.331656023739E-06
0,6.8122,4.53640575900691E-06
0,6.832,3.09066901081727E-06
0,6.8518,2.33338353009342E-06
0,6.8716,1.88284080157754E-06
0,6.8914,1.58931391525855E-06
0,6.9112,1.38587515902634E-06
0,6.931,1.23874871892524E-06
0,6.9508,1.12923872955589E-06
0,6.9706,1.04623749483001E-06
0,6.9904,9.8278129588931E-07
0,7.0102,9.34325574967118E-07
0,7.03,8.97823810049563E-07
0,7.0498,8.71203329662306E-07
0,7.0696,8.53047204171864E-07
0,7.0894,8.42421271903559E-07
0,7.1092,8.38744581840768E-07
0,7.129,8.41730927465407E-07
0,7.1488,8.51343301112953E-07
0,7.1686,8.67773675788788E-07
0,7.1884,8.91443242147625E-07
0,7.2082,9.2299646172128E-07
0,7.228,9.63303938560378E-07
0,7.2478,1.01340347134954E-06
0,7.2676,1.07435471177122E-06
0,7.2874,1.14674342710133E-06
0,7.3072,1.22935074580513E-06
0,7.327,1.31545513496677E-06
0,7.3468,1.38252094046348E-06
0,7.3666,1.36373105618901E-06
0,7.3864,1.07874940506785E-06
0,7.4062,1.64565304920069E-07
0,7.426,1.48869504093524E-06
0,7.4458,2.78584426614186E-06
0,7.4656,2.99497178678704E-06
0,7.4854,2.6784106192013E-06
0,7.5052,2.29162182752761E-06
0,7.525,1.9634043758883E-06
